,0
0,ChemoGrade
1,TumourStage
2,original_shape_LeastAxisLength
3,original_shape_MajorAxisLength
4,original_shape_Maximum2DDiameterColumn
5,original_shape_Maximum2DDiameterRow
6,original_shape_Maximum2DDiameterSlice
7,original_shape_Maximum3DDiameter
8,original_shape_MeshVolume
9,original_shape_MinorAxisLength
10,original_shape_Sphericity
11,original_shape_VoxelVolume
12,original_firstorder_90Percentile
13,original_firstorder_InterquartileRange
14,original_firstorder_Kurtosis
15,original_firstorder_Maximum
16,original_firstorder_MeanAbsoluteDeviation
17,original_firstorder_Range
18,original_firstorder_RobustMeanAbsoluteDeviation
19,original_firstorder_RootMeanSquared
20,original_firstorder_Variance
21,original_gldm_SmallDependenceLowGrayLevelEmphasis
22,original_glszm_LargeAreaLowGrayLevelEmphasis
23,original_glszm_ZonePercentage
